model,fold,rmse,r2,n_test
main_effects,AmPhos,22.58114719151178,0.4277707407339577,480
main_effects,CataCXium A,24.24398225322166,0.310236350400382,480
main_effects,P(Cy)3,19.152234993565624,0.5440647076810035,480
main_effects,P(Ph)3,26.87354588079453,0.2731221798753005,480
main_effects,P(o-Tol)3,21.538198903700494,0.3378249296694852,480
main_effects,P(tBu)3,22.57048777106999,0.3436648527689471,480
main_effects,SPhos,22.317459736949996,0.33779835010045867,480
main_effects,XPhos,23.80496761121401,0.23270025896448265,480
main_effects,Xantphos,32.26833858401998,-2.576784953412296,480
main_effects,dppf,23.20679440431315,0.08884623664895464,480
main_effects,dtbpf,17.60638462752332,0.3489911618159016,480
main_effects,none,22.094713088512364,-0.19261934159236538,480
onehot_xgb,AmPhos,16.623382995097124,0.6898892088137258,480
onehot_xgb,CataCXium A,18.805511808507838,0.5849860416360158,480
onehot_xgb,P(Cy)3,15.180227361386786,0.7135684589443753,480
onehot_xgb,P(Ph)3,21.287873813018965,0.5438832266190743,480
onehot_xgb,P(o-Tol)3,15.806687159320676,0.6433552990523305,480
onehot_xgb,P(tBu)3,18.27106284214512,0.5698980665006599,480
onehot_xgb,SPhos,20.28134095403504,0.4531174439578456,480
onehot_xgb,XPhos,22.32504561262662,0.32513862640758395,480
onehot_xgb,Xantphos,32.92378002817301,-2.7235655380263073,480
onehot_xgb,dppf,23.638896042147927,0.054599679284182856,480
onehot_xgb,dtbpf,13.95409962989425,0.5910688883011982,480
onehot_xgb,none,20.700022649447238,-0.046807334450267746,480
ligandfp_xgb,AmPhos,15.44325019573927,0.732357257045386,480
ligandfp_xgb,CataCXium A,35.713450535480995,-0.4967732524687756,480
ligandfp_xgb,P(Cy)3,18.549782220559887,0.5722973731516001,480
ligandfp_xgb,P(Ph)3,31.750595494171524,-0.014647568860331583,480
ligandfp_xgb,P(o-Tol)3,14.897130930269196,0.6832188513316884,480
ligandfp_xgb,P(tBu)3,18.20261087257561,0.5731147566531305,480
ligandfp_xgb,SPhos,26.789468179319364,0.045823046104524034,480
ligandfp_xgb,XPhos,20.059513363653846,0.45515791304844355,480
ligandfp_xgb,Xantphos,41.78992194823027,-4.999053560770482,480
ligandfp_xgb,dppf,24.680774484158103,-0.030573406158050043,480
ligandfp_xgb,dtbpf,15.205234271820075,0.5144513555848078,480
ligandfp_xgb,none,23.507301448225906,-0.3499903643876876,480
multifp_xgb,AmPhos,15.390603530648878,0.7341789565108641,480
multifp_xgb,CataCXium A,19.552648349241633,0.5513542399132766,480
multifp_xgb,P(Cy)3,16.93448345867627,0.6435421399979235,480
multifp_xgb,P(Ph)3,33.22879604342575,-0.1113239685711016,480
multifp_xgb,P(o-Tol)3,16.43098461879341,0.6146270407755964,480
multifp_xgb,P(tBu)3,18.056096503064158,0.5799591712715255,480
multifp_xgb,SPhos,24.169722160179237,0.22331654343959173,480
multifp_xgb,XPhos,22.244013402500727,0.33002876323570773,480
multifp_xgb,Xantphos,38.08952879383878,-3.9836876976099473,480
multifp_xgb,dppf,22.677690998718774,0.1299203111162277,480
multifp_xgb,dtbpf,16.923372170533376,0.39852119949281517,480
multifp_xgb,none,26.03557664629742,-0.6559968931008988,480
residual_xgb,AmPhos,14.965868267466746,0.7486482614824838,480
residual_xgb,CataCXium A,19.40906374142456,0.5579192939881334,480
residual_xgb,P(Cy)3,16.87078646657252,0.6462186422903506,480
residual_xgb,P(Ph)3,26.300736176241532,0.30377874343381783,480
residual_xgb,P(o-Tol)3,16.00746956739185,0.6342372875753044,480
residual_xgb,P(tBu)3,17.6336523604236,0.5993839713198694,480
residual_xgb,SPhos,19.05151542984719,0.5174305859337384,480
residual_xgb,XPhos,19.997990293205472,0.45849487876333483,480
residual_xgb,Xantphos,33.43469226987221,-2.8400270186783194,480
residual_xgb,dppf,20.952894474648105,0.2572384474583681,480
residual_xgb,dtbpf,15.773081026753838,0.47750807501233283,480
residual_xgb,none,23.738701635397288,-0.3766991348302444,480
